,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
638,T.J. Warren,SF,26,IND,66,66,32.9,8.0,14.9,.538,1.3,3.3,.405,6.7,11.6,.577,.583,2.5,3.1,.819,1.0,3.2,4.2,1.5,1.2,0.5,1.3,2.8,19.9
639,P.J. Washington,PF,21,CHO,58,57,30.3,4.6,10.2,.455,1.5,4.0,.374,3.1,6.2,.507,.528,1.5,2.3,.647,1.0,4.4,5.4,2.1,0.9,0.8,1.6,2.7,12.2
640,Yuta Watanabe,SG,25,MEM,17,0,6.0,0.8,1.8,.452,0.2,0.5,.375,0.6,1.4,.478,.500,0.2,0.5,.375,0.4,0.7,1.1,0.2,0.3,0.1,0.1,0.5,2.0
641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Tremont Waters,PG,22,BOS,10,0,8.9,1.2,3.5,.343,0.3,1.7,.176,0.9,1.8,.500,.386,0.6,0.6,1.000,0.0,0.9,0.9,1.2,0.5,0.2,1.0,1.1,3.3
643,Paul Watson,SF-SG,25,TOT,7,0,4.7,0.0,1.1,.000,0.0,0.6,.000,0.0,0.6,.000,.000,0.1,0.3,.500,0.0,0.9,0.9,0.7,0.1,0.1,0.0,0.3,0.1
644,Paul Watson,SG,25,ATL,2,0,8.5,0.0,3.5,.000,0.0,1.5,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,1.5,0.5,0.0,0.0,0.5,0.0
645,Paul Watson,SF,25,TOR,5,0,3.2,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,,.000,0.2,0.4,.500,0.0,0.8,0.8,0.4,0.0,0.2,0.0,0.2,0.2
646,Quinndary Weatherspoon,SG,23,SAS,9,0,7.3,0.6,1.8,.313,0.1,0.6,.200,0.4,1.2,.364,.344,0.0,0.0,,0.1,0.6,0.7,1.0,0.3,0.1,0.4,0.6,1.2
647,Russell Westbrook,PG,31,HOU,56,56,36.1,10.6,22.6,.472,0.9,3.7,.254,9.7,18.8,.515,.492,5.1,6.8,.762,1.8,6.2,8.0,7.1,1.6,0.4,4.4,3.6,27.4
648,Coby White,SG,19,CHI,65,1,25.8,4.8,12.2,.394,2.0,5.8,.354,2.8,6.4,.430,.478,1.6,2.0,.791,0.4,3.1,3.5,2.7,0.8,0.1,1.7,1.8,13.2
649,Derrick White,SG,25,SAS,67,19,24.6,3.7,8.1,.462,1.2,3.1,.375,2.6,5.0,.516,.534,2.7,3.1,.852,0.5,2.8,3.3,3.5,0.7,0.9,1.3,2.2,11.3
650,Hassan Whiteside,C,30,POR,65,61,30.4,6.6,10.7,.618,0.1,0.1,.571,6.5,10.6,.618,.620,2.4,3.6,.675,3.8,9.8,13.7,1.2,0.4,3.0,1.8,2.9,15.6
651,Andrew Wiggins,SF-SG,24,TOT,54,54,34.4,8.1,18.1,.447,2.1,6.2,.332,6.0,11.9,.506,.504,3.5,5.0,.709,1.2,3.9,5.1,3.7,0.8,1.0,2.4,2.4,21.8
652,Andrew Wiggins,SF,24,MIN,42,42,34.6,8.4,18.8,.444,2.2,6.5,.331,6.2,12.3,.505,.502,3.5,4.9,.720,1.1,4.1,5.2,3.7,0.7,0.9,2.5,2.4,22.4
653,Andrew Wiggins,SG,24,GSW,12,12,33.6,7.2,15.7,.457,1.7,4.9,.339,5.5,10.8,.512,.511,3.4,5.1,.672,1.5,3.1,4.6,3.6,1.3,1.4,2.1,2.2,19.4
654,Grant Williams,PF,21,BOS,67,5,14.9,1.3,3.0,.418,0.3,1.3,.247,0.9,1.7,.554,.473,0.6,0.8,.712,0.9,1.6,2.5,1.0,0.4,0.5,0.7,2.3,3.4
655,Johnathan Williams,C,24,WAS,13,5,11.6,1.3,2.1,.630,0.0,0.2,.000,1.3,1.9,.680,.630,0.4,0.7,.556,1.2,2.3,3.5,0.5,0.1,0.5,0.3,1.0,3.0
656,Kenrich Williams,PF,25,NOP,37,18,21.5,1.3,3.9,.343,0.7,2.6,.260,0.6,1.3,.511,.430,0.2,0.7,.346,1.3,3.5,4.9,1.5,0.7,0.6,0.6,2.2,3.6
657,Lou Williams,SG,33,LAC,64,8,28.7,6.0,14.4,.415,1.7,4.8,.353,4.3,9.6,.446,.474,4.5,5.2,.862,0.5,2.6,3.1,5.6,0.7,0.2,2.8,1.2,18.2
658,Marvin Williams,PF,33,TOT,56,1,19.6,2.1,4.7,.441,1.0,2.7,.353,1.1,2.0,.564,.544,0.9,1.0,.860,0.5,2.6,3.1,1.0,0.6,0.5,0.6,1.8,6.0
659,Marvin Williams,PF,33,CHO,41,1,19.7,2.3,5.1,.448,1.1,2.9,.376,1.2,2.3,.538,.552,1.0,1.2,.860,0.4,2.3,2.7,1.0,0.6,0.5,0.6,1.7,6.7
660,Marvin Williams,PF,33,MIL,15,0,19.4,1.5,3.5,.415,0.7,2.4,.278,0.8,1.1,.706,.509,0.4,0.5,.857,1.0,3.4,4.4,1.1,0.7,0.5,0.5,2.0,4.0
661,Robert Williams,C,22,BOS,27,1,13.6,2.1,2.9,.722,0.0,0.0,,2.1,2.9,.722,.722,0.7,1.1,.645,1.4,3.1,4.4,0.9,0.8,1.2,0.7,1.8,5.0
662,Nigel Williams-Goss,PG,25,UTA,9,0,3.1,0.1,0.8,.143,0.0,0.2,.000,0.1,0.6,.200,.143,0.2,0.2,1.000,0.2,0.3,0.6,0.6,0.1,0.1,0.2,0.2,0.4
663,Zion Williamson,PF,19,NOP,24,24,27.8,8.8,15.0,.583,0.3,0.6,.429,8.5,14.4,.590,.592,4.8,7.4,.640,2.7,3.6,6.3,2.1,0.7,0.4,2.5,1.8,22.5
664,D.J. Wilson,PF,23,MIL,34,0,8.9,1.3,3.3,.381,0.4,1.8,.242,0.8,1.5,.549,.447,0.2,0.4,.583,0.3,2.0,2.3,0.6,0.1,0.1,0.5,0.8,3.2
665,Justise Winslow,SF,23,MIA,11,5,32.0,4.5,11.7,.388,0.5,2.5,.222,4.0,9.3,.431,.411,1.6,2.5,.667,1.5,5.2,6.6,4.0,0.6,0.5,2.2,3.5,11.3
666,Christian Wood,PF,24,DET,62,12,21.4,4.6,8.2,.567,0.9,2.3,.386,3.8,5.9,.636,.620,2.9,3.9,.744,1.7,4.6,6.3,1.0,0.5,0.9,1.4,1.6,13.1
667,Delon Wright,SG,27,DAL,70,5,21.5,2.7,5.7,.466,0.7,1.8,.376,2.0,3.9,.507,.525,1.1,1.4,.792,1.0,2.9,3.9,3.3,1.1,0.3,1.0,1.3,7.1
668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Justin Wright-Foreman,PG,22,UTA,2,0,6.5,1.5,4.0,.375,0.0,1.5,.000,1.5,2.5,.600,.375,1.0,1.0,1.000,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,4.0
670,Thaddeus Young,PF,31,CHI,64,16,24.9,4.2,9.4,.448,1.2,3.5,.356,3.0,5.9,.501,.513,0.7,1.1,.583,1.5,3.5,4.9,1.8,1.4,0.4,1.6,2.1,10.3
671,Trae Young,PG,21,ATL,60,60,35.3,9.1,20.8,.437,3.4,9.5,.361,5.7,11.4,.501,.519,8.0,9.3,.860,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6
672,Cody Zeller,C,27,CHO,58,39,23.1,4.3,8.3,.524,0.3,1.3,.240,4.0,7.0,.577,.543,2.1,3.1,.682,2.8,4.3,7.1,1.5,0.7,0.4,1.3,2.4,11.1
673,Tyler Zeller,C,30,SAS,2,0,2.0,0.5,2.0,.250,0.0,0.0,,0.5,2.0,.250,.250,0.0,0.0,,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0
674,Ante Žižić,C,23,CLE,22,0,10.0,1.9,3.3,.569,0.0,0.0,,1.9,3.3,.569,.569,0.6,0.9,.737,0.8,2.2,3.0,0.3,0.3,0.2,0.5,1.2,4.4
675,Ivica Zubac,C,22,LAC,70,68,18.5,3.2,5.3,.609,0.0,0.0,.000,3.2,5.3,.612,.609,1.7,2.3,.747,2.7,4.8,7.5,1.1,0.2,0.9,0.9,2.3,8.2
