,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
540,Jerome Robinson,SG,22,TOT,61,4,15.1,1.8,4.7,.370,0.7,2.3,.319,1.0,2.4,.419,.448,0.6,0.8,.700,0.2,1.8,2.0,1.3,0.5,0.3,0.7,1.8,4.8
541,Jerome Robinson,SG,22,LAC,42,1,11.3,1.1,3.2,.338,0.5,1.6,.284,0.6,1.6,.391,.408,0.3,0.5,.579,0.1,1.3,1.4,1.1,0.3,0.2,0.6,1.3,2.9
542,Jerome Robinson,SG,22,WAS,19,3,23.3,3.2,8.1,.399,1.4,3.9,.351,1.8,4.2,.443,.484,1.3,1.6,.774,0.4,2.9,3.3,1.7,0.8,0.5,0.9,2.7,9.1
543,Justin Robinson,PG,22,WAS,9,0,5.4,0.6,1.3,.417,0.3,0.6,.600,0.2,0.8,.286,.542,0.0,0.0,,0.1,0.4,0.6,0.8,0.0,0.1,0.3,0.2,1.4
544,Mitchell Robinson,C,21,NYK,61,7,23.1,4.1,5.6,.742,0.0,0.0,,4.1,5.6,.742,.742,1.4,2.4,.568,3.0,4.0,7.0,0.6,0.9,2.0,0.6,3.2,9.7
545,Isaiah Roby,SF,21,OKC,3,0,3.7,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.3,0.0
546,Rajon Rondo,PG,33,LAL,48,3,20.5,2.9,6.8,.418,0.9,2.6,.328,2.0,4.2,.473,.480,0.6,0.9,.659,0.5,2.5,3.0,5.0,0.8,0.0,1.9,1.2,7.1
547,Derrick Rose,PG,31,DET,50,15,26.0,7.4,15.1,.490,0.9,2.9,.306,6.5,12.1,.535,.520,2.4,2.8,.871,0.5,1.9,2.4,5.6,0.8,0.3,2.5,1.0,18.1
548,Terrence Ross,SG,28,ORL,69,0,27.4,4.9,12.3,.403,2.6,7.3,.351,2.4,5.0,.480,.508,2.3,2.7,.853,0.2,3.0,3.2,1.2,1.1,0.3,1.0,1.6,14.7
549,Terry Rozier,PG,25,CHO,63,63,34.3,6.3,14.9,.423,2.7,6.7,.407,3.6,8.2,.436,.514,2.6,3.0,.874,0.8,3.6,4.4,4.1,1.0,0.2,2.2,2.0,18.0
550,Ricky Rubio,PG,29,PHO,62,62,31.4,4.5,10.8,.413,1.2,3.3,.361,3.3,7.5,.437,.469,3.0,3.5,.863,0.7,4.0,4.7,8.7,1.5,0.2,2.7,2.5,13.2
551,D'Angelo Russell,PG,23,TOT,45,45,32.3,8.0,18.8,.426,3.5,9.6,.367,4.5,9.2,.487,.519,3.6,4.4,.809,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9,23.1
552,D'Angelo Russell,PG,23,GSW,33,33,32.1,8.3,19.2,.430,3.6,9.7,.374,4.6,9.5,.487,.524,3.4,4.4,.785,0.4,3.3,3.7,6.2,0.9,0.3,3.1,1.9,23.6
553,D'Angelo Russell,PG,23,MIN,12,12,32.7,7.3,17.6,.412,3.2,9.2,.345,4.1,8.4,.485,.502,4.0,4.6,.873,0.3,4.3,4.6,6.6,1.4,0.3,3.8,1.8,21.7
554,Domantas Sabonis,C,23,IND,62,62,34.8,7.4,13.7,.540,0.3,1.1,.254,7.1,12.6,.565,.550,3.5,4.8,.723,3.0,9.4,12.4,5.0,0.8,0.5,2.7,3.1,18.5
555,Luka Šamanić,PF,20,SAS,1,0,12.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
556,JaKarr Sampson,SF,26,IND,31,10,13.3,1.9,3.3,.584,0.1,0.4,.154,1.8,2.8,.648,.594,0.4,0.7,.591,0.6,1.8,2.5,0.6,0.4,0.4,0.4,1.8,4.3
557,Dario Šarić,PF,25,PHO,63,50,24.7,3.7,8.0,.465,1.3,3.6,.348,2.5,4.4,.561,.543,1.6,1.9,.851,1.5,4.6,6.1,1.8,0.6,0.2,1.3,2.3,10.4
558,Tomáš Satoranský,PG,28,CHI,65,64,28.9,3.6,8.5,.430,1.0,3.1,.322,2.7,5.4,.491,.488,1.6,1.9,.876,1.2,2.7,3.9,5.4,1.2,0.1,2.0,2.1,9.9
559,Admiral Schofield,SF,22,WAS,32,2,11.1,1.0,2.7,.379,0.5,1.8,.304,0.5,1.0,.516,.477,0.3,0.4,.692,0.2,1.2,1.4,0.5,0.3,0.1,0.2,1.5,2.9
